;DefaultDisplayName;DefaultCategory;Behaviors;DisplayOrder;DefaultIconBlockOffset;DefaultIconViewOffset;DefaultIconViewScale;FirstPersonScale;FirstPersonOffset;FirstPersonRotation;InHandScale;InHandOffset;InHandRotation;CraftingId;DefaultCreativeData;IsCollidable;IsPlaceable;IsDiggingTransparent;IsPlacementTransparent;DefaultIsInteractive;IsEditable;IsNonDuplicable;IsGatherable;HasCollisionBehavior;KillsWhenStuck;IsFluidBlocker;IsTransparent;DefaultShadowStrength;LightAttenuation;DefaultEmittedLightAmount;ObjectShadowStrength;DefaultDropContent;DefaultDropCount;DefaultExperienceCount;RequiredToolLevel;MaxStacking;SleepSuitability;FrictionFactor;Density;NoAutoJump;NoSmoothRise;FuelHeatLevel;FuelFireDuration;DefaultSoundMaterialName;ShovelPower;QuarryPower;HackPower;DefaultMeleePower;DefaultMeleeHitProbability;DefaultProjectilePower;ToolLevel;PlayerLevelRequired;Durability;IsAimable;IsStickable;AlignToVelocity;ProjectileSpeed;ProjectileDamping;ProjectileTipOffset;DisintegratesOnHit;ProjectileStickProbability;DefaultHeat;FireDuration;ExplosionResilience;DefaultExplosionPressure;DefaultExplosionIncendiary;IsExplosionTransparent;DigMethod;DigResilience;ProjectileResilience;DefaultNutritionalValue;DefaultSicknessProbability;FoodType;DefaultRotPeriod;DefaultTextureSlot;DestructionDebrisScale
SteelShovelBlock;;Tools;;325;0,0,0;-1,0.5,0;0.85;0.4;0.5,-0.5,-0.6;0,40,0;0.35;0,0.2,0;0,90,0;steelshovel;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-1;0;0;0;;;;;1;0;1;1.5;FALSE;FALSE;0;0;;2.0;1.5;1.5;1.5;0.66;1;4;15;960;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;;;FALSE;FALSE;FALSE;;;;;;;;233;1
SteelPickaxeBlock;;Tools;;326;0,0,0;-1,0.5,0;0.85;0.4;0.5,-0.5,-0.6;0,40,0;0.35;0,0.2,0;0,0,0;steelpickaxe;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-1;0;0;0;;;;;1;0;1;1.5;FALSE;FALSE;0;0;;1.5;22;1.5;1.5;0.66;1;4;15;600;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;;;FALSE;FALSE;FALSE;;;;;;;;218;1
SteelAxeBlock;;Tools;;327;0,0,0;-1,0.5,0;0.85;0.4;0.5,-0.5,-0.6;0,40,0;0.35;0,0.2,0;0,0,0;steelaxe;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-1;0;0;0;;;;;1;0;1;1.5;FALSE;FALSE;0;0;;1.5;1.5;23;18;0.3;1;4;15;600;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;;;FALSE;FALSE;FALSE;;;;;;;;234;1
SteelRakeBlock;;Tools;RakeBlockBehavior;328;0,0,0;-1,0.5,1;0.85;0.4;0.5,-0.5,-0.6;0,40,0;0.35;0,0.2,0;0,90,0;steelrake;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-1;0;0;0;;;;;1;0;1;1.5;FALSE;FALSE;0;0;;1.5;1.5;1.5;1.5;0.66;1;4;15;960;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;;;FALSE;FALSE;FALSE;;;;;;;;234;1
SteelSpearBlock;;Tools;ThrowableBlockBehavior;329;0,0,0;-1,0.5,0;0.85;0.4;0.5,-0.5,-0.6;0,40,0;0.4;0,0.2,0;0,0,0;steelspear;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-1;0;0;0;;;;;1;0;1;1.5;FALSE;FALSE;0;0;;1;1;1;9;0.8;10;4;15;600;TRUE;TRUE;TRUE;18;0.9;0.3;FALSE;0;;0;;;FALSE;FALSE;FALSE;;;;;;;;211;1
SteelMacheteBlock;;Tools;;330;0,0,0;-1,0.5,0;0.85;0.4;0.5,-0.5,-0.6;0,40,0;0.4;0,0.27,0;0,0,0;steelmachete;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-1;0;0;0;;;;;1;0;1;1.5;FALSE;FALSE;0;0;;1;1;1;16;0.9;1;4;15;600;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;;;FALSE;FALSE;FALSE;;;;;;;;211;1
SteelHammerBlock;;Tools;;331;0,0,0;-1,0.5,1;0.85;0.4;0.5,-0.5,-0.6;0,40,0;0.35;0,0.2,0;0,0,0;steelhammer;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-1;0;0;0;;;;;1;0;1;3;FALSE;FALSE;0;0;;1.5;30;1.5;1.5;0.66;1;4;15;1000;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;;;;;;;FALSE;;;;;;;;232;1
AlloyCopperShovelBlock;;Tools;;332;0,0,0;-1,0.5,0;0.85;0.4;0.5,-0.5,-0.6;0,40,0;0.35;0,0.2,0;0,90,0;alloycoppershovel;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-1;0;0;0;;;;;1;0;1;1.5;FALSE;FALSE;0;0;;1.8;1.5;1.5;1.5;0.66;1;4;1;145;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;;;FALSE;FALSE;FALSE;;;;;;;;233;1
AlloyCopperPickaxeBlock;;Tools;;333;0,0,0;-1,0.5,0;0.85;0.4;0.5,-0.5,-0.6;0,40,0;0.35;0,0.2,0;0,0,0;alloycopperpickaxe;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-1;0;0;0;;;;;1;0;1;1.5;FALSE;FALSE;0;0;;1.5;20;1.5;1.5;0.66;1;4;1;180;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;;;FALSE;FALSE;FALSE;;;;;;;;218;1
AlloyCopperAxeBlock;;Tools;;334;0,0,0;-1,0.5,0;0.85;0.4;0.5,-0.5,-0.6;0,40,0;0.35;0,0.2,0;0,0,0;alloycopperaxe;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-1;0;0;0;;;;;1;0;1;1.5;FALSE;FALSE;0;0;;1.5;1.5;17;15;0.3;1;4;1;180;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;;;FALSE;FALSE;FALSE;;;;;;;;234;1
